Text,Neg Senti,Neut Senti,Neg Senti,Real Lat,Real Lon,Real Country,Real Continent,Predic Lat,Predict Lon
"""Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU""",0.748251379,0.237943053,0.013805526,51.5074,-0.1277,England,Europe,,
"""Accident cleared in #PaTurnpike on PATP EB between PA-18 and Cranberry slow back to #traffic http://t.co/SL0Oqn0Vyr""",0.025161345,0.778347194,0.196491495,40.4586,-79.8899,USA,NA,,
"""Coincidence Or #Curse? Still #Unresolved Secrets From Past http://t.co/7VG8Df9pLE #accident""",0.413951427,0.555220544,0.030828042,42.4072,-71.3824,USA,NA,,
"""There's a construction guy working on the Disney store and he has huge gauges in his ears ?? ...that is a bloody accident waiting to happen""",0.804545641,0.171181217,0.02427312,32.7555,-97.3308,USA,NA,,
"""FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/1CsEBhPLfh via @usatoday""",0.62935245,0.356986314,0.013661242,25.2744,-71.0565,USA,NA,,
"""@pukesmoothie I don't understand WHY he would put us in that danger.""",0.933174312,0.062708139,0.00411758,33.7501,-117.9988,USA,NA,,
"""@Miss_Instiinctz or mostly around lava too""",0.094925076,0.865941405,0.039133523,38.9073,-79.9909,USA,NA,,
"""RICHIE: This was #Calgary yesterday after a crazy #hailstorm! pics via Calgary Herald http://t.co/1oH20qHk2l""",0.051386289,0.746815264,0.201798409,-3.45,-79.3884,Canada,NA,,
"""Severe Thunderstorm 7 Miles North of Arcadia Moving SE At 20 MPH. 60 MPH Wind Gusts and Large Hail. Hail... #okwx http://t.co/WEd69e4KRg""",0.034515284,0.925486028,0.039998699,40.7128,-97.0929,USA,NA,,
"""#Children traumatised after the Nepal earthquake are educated on coping mechanisms. http://t.co/UbwDBydK1a""",0.28365019,0.6717816,0.044568248,33.6595,151.2077,Australia,Australia,,
"""#yyc #hailstorm #christmas came early https://t.co/f0A2IIzx3A""",0.031003702,0.796003342,0.172992885,42.8869,106.3468,Canada,NA,,
"""@wral there are now 5 fire trucks and 2 ambulances at Wellington ridge lp in Cary. one of the units is on fire. not sure on injuries""",0.416894555,0.552253723,0.030851686,19.2599,-79.0558,USA,NA,,
"""Plane debris is from #MH370 - it was a controlled crash. In other words it was mass murder by a musim http://t.co/J3xFDg9CWF @newscomauHQ""",0.843178689,0.150832638,0.005988633,40.5409,-74.006,USA,NA,,
"""Police continue to investigate fatal shooting on Vermont &amp; 14th Street http://t.co/daACJ5Hfmq""",0.479540646,0.507652521,0.012806842,38.9073,42.8869,USA,NA,,
"""Ukraine famine memorial in progress since 2006 goes up in Washington: http://t.co/Td7VIEoODi""",0.104300134,0.868851483,0.026848465,33.8623,-77.0369,USA,NA,,
"""More Severe Weather Heads Toward Chicago Area: A brief violent storm swept through the Chicago area Sunday af... http://t.co/JWSLLsuKjg""",0.199344888,0.760922432,0.039732758,27.9517,-87.6324,USA,NA,,
"""I don't wake up until another 2 hours &amp;&amp; I get interrupted . ????? I hate thunder .. ??""",0.973624229,0.022640409,0.003735325,33.8168,-85.6024,NA,USA,,
"""it doesn't really get much better then summer thunder storms wrapped in a blanket. #icouldsitinthismomentforever""",0.010380352,0.042524315,0.947095335,0.0236,-74.006,NA,USA,,
"""driving home after a fairly large rainstorm makes me wonder how some of y'all manage to drive when it's dry out""",0.324179262,0.61626929,0.059551418,-12.4637,-90.0519,NA,USA,,
"""Don't blame the messenger. Food panic in Venezuela. 1 minute video.Thanks SHTFPlan!
https://t.co/QBSTQXA6QX""",0.386250764,0.49299711,0.1207522,39.7392,-97.403,NA,USA,,
"""TommyGShow: Burlington County offers to purchase landslide-damaged properties in Florence http://t.co/xgguElyxyi""",0.160736427,0.811134994,0.028128589,43.6548,-74.3088,NA,USA,,
